suspicious_permissions,network_operations,file_encryption_ops,sensitive_api_calls,aviation_app_impersonation,data_size_exfiltrated,background_processes,flight_plan_access_frequency,label,threat_name
3,52,8,3,1,3.0596747398847226,4,10,2,MAINTENANCE_LOG_TAMPERING
0,17,0,0,0,0.1572820754636826,1,1,3,BENIGN
5,76,9,2,1,1.2288722948322166,6,23,2,MAINTENANCE_LOG_TAMPERING
3,116,5,2,1,7.3719405434047545,3,13,1,EFB_DATA_EXFILTRATION
6,58,9,3,1,1.396776021086662,7,17,2,MAINTENANCE_LOG_TAMPERING
4,53,7,2,1,34.91680958223219,5,17,1,EFB_DATA_EXFILTRATION
5,42,8,5,1,1.1943083647484274,5,20,2,MAINTENANCE_LOG_TAMPERING
4,48,7,4,1,5.422954455733948,7,16,2,MAINTENANCE_LOG_TAMPERING
1,12,0,0,0,0.22910240262610798,1,4,3,BENIGN
6,44,8,2,1,5.645170766585625,6,27,2,MAINTENANCE_LOG_TAMPERING
5,64,3,2,1,34.8805502630421,3,11,1,EFB_DATA_EXFILTRATION
1,15,0,0,0,0.019708792560181487,1,4,3,BENIGN
4,62,9,2,1,5.535497222517618,4,28,2,MAINTENANCE_LOG_TAMPERING
4,67,4,5,1,1.9844804056808976,4,24,0,FLIGHT_PLAN_INJECTION
3,71,7,2,1,7.087308107575918,5,21,2,MAINTENANCE_LOG_TAMPERING
3,56,4,6,1,1.7282052467518374,2,46,0,FLIGHT_PLAN_INJECTION
4,39,5,5,1,8.941693164152948,7,17,2,MAINTENANCE_LOG_TAMPERING
3,142,3,2,1,14.37249538190956,6,16,1,EFB_DATA_EXFILTRATION
4,68,2,6,1,1.5723640973813144,4,37,0,FLIGHT_PLAN_INJECTION
4,63,7,5,1,1.0532593927926146,5,14,2,MAINTENANCE_LOG_TAMPERING
0,18,1,0,0,0.09043726221266818,1,2,3,BENIGN
2,99,3,6,1,1.1501373910865262,2,45,0,FLIGHT_PLAN_INJECTION
5,83,2,5,1,1.347948939068053,3,26,0,FLIGHT_PLAN_INJECTION
3,62,3,5,1,1.1482071388322772,3,37,0,FLIGHT_PLAN_INJECTION
0,10,1,0,0,0.24958491663133087,2,0,3,BENIGN
5,57,8,3,1,9.828022830334834,7,21,2,MAINTENANCE_LOG_TAMPERING
5,29,7,5,1,7.172087304487215,4,21,2,MAINTENANCE_LOG_TAMPERING
4,108,3,3,1,34.60774600420666,4,15,1,EFB_DATA_EXFILTRATION
5,60,6,5,1,5.412752974101061,7,17,2,MAINTENANCE_LOG_TAMPERING
3,89,5,3,1,26.712187723744833,5,7,1,EFB_DATA_EXFILTRATION
1,8,1,0,0,0.4183648430718929,2,0,3,BENIGN
2,39,3,3,1,0.8384820262748058,2,24,0,FLIGHT_PLAN_INJECTION
3,26,6,2,1,9.648100949161982,6,10,2,MAINTENANCE_LOG_TAMPERING
2,13,1,0,0,0.3291997976885209,2,3,3,BENIGN
3,72,5,2,1,46.542592028938074,6,5,1,EFB_DATA_EXFILTRATION
5,50,9,5,1,6.490282293637356,6,11,2,MAINTENANCE_LOG_TAMPERING
2,63,3,6,1,0.5024164847748551,3,48,0,FLIGHT_PLAN_INJECTION
2,66,1,7,1,0.14715270174578338,4,26,0,FLIGHT_PLAN_INJECTION
3,115,3,2,1,10.197763977040978,4,17,1,EFB_DATA_EXFILTRATION
2,99,3,7,1,0.21655336151934923,3,38,0,FLIGHT_PLAN_INJECTION
3,76,9,2,1,3.0516898626886757,6,18,2,MAINTENANCE_LOG_TAMPERING
4,94,3,4,1,1.5128447833651737,4,20,0,FLIGHT_PLAN_INJECTION
3,133,3,3,1,39.24526923272999,4,19,1,EFB_DATA_EXFILTRATION
5,142,6,1,1,44.66346495454625,3,10,1,EFB_DATA_EXFILTRATION
4,74,9,5,1,3.8838424628831048,7,22,2,MAINTENANCE_LOG_TAMPERING
3,45,8,2,1,1.2458437503092936,7,26,2,MAINTENANCE_LOG_TAMPERING
5,45,4,6,1,0.814835818886263,4,44,0,FLIGHT_PLAN_INJECTION
4,34,8,3,1,6.856964477581083,5,26,2,MAINTENANCE_LOG_TAMPERING
3,54,4,1,1,40.57311233901415,6,18,1,EFB_DATA_EXFILTRATION
5,112,3,2,1,22.56466006676996,5,18,1,EFB_DATA_EXFILTRATION
5,72,1,3,1,1.146311933794229,4,39,0,FLIGHT_PLAN_INJECTION
2,99,4,6,1,0.6858690311847776,4,46,0,FLIGHT_PLAN_INJECTION
7,56,5,3,1,5.5390300931088055,4,24,2,MAINTENANCE_LOG_TAMPERING
5,137,7,2,1,26.82828091142129,4,5,1,EFB_DATA_EXFILTRATION
6,77,8,3,1,7.082345063118196,5,27,2,MAINTENANCE_LOG_TAMPERING
5,55,8,4,1,6.824769782520989,5,18,2,MAINTENANCE_LOG_TAMPERING
3,50,9,2,1,4.367229404100312,5,15,2,MAINTENANCE_LOG_TAMPERING
4,60,2,5,1,0.2719429910821468,4,34,0,FLIGHT_PLAN_INJECTION
5,39,2,3,1,1.7320630395322183,4,34,0,FLIGHT_PLAN_INJECTION
6,60,6,5,1,6.062832288225746,6,16,2,MAINTENANCE_LOG_TAMPERING
4,54,5,1,1,30.752771654390052,3,7,1,EFB_DATA_EXFILTRATION
6,110,7,3,1,46.968786220996805,6,6,1,EFB_DATA_EXFILTRATION
3,43,8,2,1,0.8956182122298131,7,22,2,MAINTENANCE_LOG_TAMPERING
7,43,6,3,1,5.512006413040829,5,10,2,MAINTENANCE_LOG_TAMPERING
4,64,3,7,1,1.41885014255485,3,41,0,FLIGHT_PLAN_INJECTION
6,78,5,3,1,8.273131779973841,5,14,1,EFB_DATA_EXFILTRATION
4,71,2,4,1,1.5076780927717726,4,20,0,FLIGHT_PLAN_INJECTION
4,51,3,2,1,6.118678216210737,5,8,1,EFB_DATA_EXFILTRATION
3,63,2,3,1,1.6171200615678083,2,38,0,FLIGHT_PLAN_INJECTION
7,23,5,2,1,4.667343834299967,5,21,2,MAINTENANCE_LOG_TAMPERING
4,35,3,7,1,1.223472182954165,4,24,0,FLIGHT_PLAN_INJECTION
7,36,6,3,1,3.7049112443941565,4,10,2,MAINTENANCE_LOG_TAMPERING
6,79,6,4,1,9.367823499873596,7,13,2,MAINTENANCE_LOG_TAMPERING
7,44,9,3,1,8.941066240982606,7,11,2,MAINTENANCE_LOG_TAMPERING
3,57,3,3,1,1.7215845510848509,3,20,0,FLIGHT_PLAN_INJECTION
3,79,7,2,1,7.386846376436383,5,18,2,MAINTENANCE_LOG_TAMPERING
6,72,6,1,1,12.901089993557733,4,11,1,EFB_DATA_EXFILTRATION
0,16,0,0,0,0.14022753238002766,1,3,3,BENIGN
4,70,2,7,1,1.163611872141552,2,34,0,FLIGHT_PLAN_INJECTION
5,77,1,6,1,1.6327031240508012,3,31,0,FLIGHT_PLAN_INJECTION
6,91,7,1,1,19.072098281365612,4,14,1,EFB_DATA_EXFILTRATION
2,68,1,3,1,1.2378778800389025,2,39,0,FLIGHT_PLAN_INJECTION
3,53,8,3,1,8.580511874412695,5,16,2,MAINTENANCE_LOG_TAMPERING
6,20,9,2,1,7.0393974366797485,6,26,2,MAINTENANCE_LOG_TAMPERING
4,46,1,4,1,0.2084882490458351,4,47,0,FLIGHT_PLAN_INJECTION
4,90,3,3,1,1.5050018423798155,3,27,0,FLIGHT_PLAN_INJECTION
5,99,7,2,1,7.343258279957139,3,15,1,EFB_DATA_EXFILTRATION
3,21,9,2,1,2.737876378647762,5,12,2,MAINTENANCE_LOG_TAMPERING
6,29,6,4,1,7.817173273673796,5,15,2,MAINTENANCE_LOG_TAMPERING
3,95,4,4,1,0.33642499509883483,2,40,0,FLIGHT_PLAN_INJECTION
3,42,3,7,1,0.714069074729017,3,33,0,FLIGHT_PLAN_INJECTION
5,87,5,3,1,12.172769814713098,6,8,1,EFB_DATA_EXFILTRATION
0,6,1,0,0,0.3726207430862206,2,0,3,BENIGN
5,91,6,1,1,31.95549698961054,4,8,1,EFB_DATA_EXFILTRATION
5,46,3,7,1,1.2446381087367413,3,48,0,FLIGHT_PLAN_INJECTION
3,59,7,5,1,4.017784131192519,7,28,2,MAINTENANCE_LOG_TAMPERING
4,60,8,4,1,7.293799379706169,4,11,2,MAINTENANCE_LOG_TAMPERING
3,77,7,3,1,24.23784009166923,5,9,1,EFB_DATA_EXFILTRATION
4,121,5,1,1,26.522765037996937,4,10,1,EFB_DATA_EXFILTRATION
6,56,5,2,1,2.455929452282694,6,13,2,MAINTENANCE_LOG_TAMPERING
4,96,5,2,1,14.309234394002951,3,5,1,EFB_DATA_EXFILTRATION
3,70,3,7,1,1.8670102178030379,4,33,0,FLIGHT_PLAN_INJECTION
4,80,4,2,1,41.06927573235839,4,18,1,EFB_DATA_EXFILTRATION
3,68,6,3,1,39.328155605591554,6,19,1,EFB_DATA_EXFILTRATION
6,66,5,1,1,26.73798103369862,3,16,1,EFB_DATA_EXFILTRATION
2,8,0,0,0,0.32422745709071743,2,2,3,BENIGN
6,46,8,5,1,1.4392967552951879,5,21,2,MAINTENANCE_LOG_TAMPERING
5,40,8,5,1,8.83954945465736,6,22,2,MAINTENANCE_LOG_TAMPERING
6,31,5,2,1,7.358839896040625,5,15,2,MAINTENANCE_LOG_TAMPERING
6,77,7,5,1,9.502424755946338,4,22,2,MAINTENANCE_LOG_TAMPERING
3,115,4,2,1,18.95153108056025,4,13,1,EFB_DATA_EXFILTRATION
7,67,8,4,1,5.880067361582055,4,22,2,MAINTENANCE_LOG_TAMPERING
4,36,7,5,1,1.3845179868297057,4,21,2,MAINTENANCE_LOG_TAMPERING
5,72,5,4,1,4.063444350524325,4,28,2,MAINTENANCE_LOG_TAMPERING
4,108,6,3,1,44.18021606964443,6,18,1,EFB_DATA_EXFILTRATION
3,64,8,3,1,6.216022781894418,5,23,2,MAINTENANCE_LOG_TAMPERING
4,93,5,1,1,38.690247886294586,3,8,1,EFB_DATA_EXFILTRATION
3,38,6,3,1,5.597771338005856,7,23,2,MAINTENANCE_LOG_TAMPERING
3,136,7,3,1,6.812658803029115,6,10,1,EFB_DATA_EXFILTRATION
5,90,3,3,1,0.5559029170748995,3,41,0,FLIGHT_PLAN_INJECTION
1,19,0,0,0,0.2278128076776001,2,0,3,BENIGN
3,46,5,4,1,4.223981416946911,4,16,2,MAINTENANCE_LOG_TAMPERING
7,34,7,4,1,0.5022895445087783,7,29,2,MAINTENANCE_LOG_TAMPERING
2,70,3,4,1,0.4638905118952815,4,46,0,FLIGHT_PLAN_INJECTION
3,32,8,4,1,3.8858449905718144,7,26,2,MAINTENANCE_LOG_TAMPERING
3,67,5,1,1,36.52046894409611,5,17,1,EFB_DATA_EXFILTRATION
5,97,1,6,1,0.11789772634764611,2,29,0,FLIGHT_PLAN_INJECTION
3,41,2,4,1,1.9939346540898226,2,39,0,FLIGHT_PLAN_INJECTION
2,54,3,3,1,0.3861608108301864,3,44,0,FLIGHT_PLAN_INJECTION
3,33,5,2,1,5.127284171073991,7,14,2,MAINTENANCE_LOG_TAMPERING
5,68,3,2,1,25.859813804839586,6,5,1,EFB_DATA_EXFILTRATION
4,50,4,2,1,25.705273244149648,5,14,1,EFB_DATA_EXFILTRATION
5,43,1,5,1,0.8373875971538985,3,46,0,FLIGHT_PLAN_INJECTION
2,5,1,0,0,0.2162185833582515,2,4,3,BENIGN
3,117,3,1,1,30.699192309553162,5,11,1,EFB_DATA_EXFILTRATION
5,42,4,4,1,1.3313940417960357,2,43,0,FLIGHT_PLAN_INJECTION
4,64,4,1,1,49.756738424987304,3,8,1,EFB_DATA_EXFILTRATION
3,36,8,3,1,6.128588442065166,5,27,2,MAINTENANCE_LOG_TAMPERING
3,25,8,2,1,9.983223245372843,6,19,2,MAINTENANCE_LOG_TAMPERING
4,60,3,4,1,1.3617912751809929,3,35,0,FLIGHT_PLAN_INJECTION
1,9,0,0,0,0.05254877510681916,1,4,3,BENIGN
6,125,6,3,1,7.96234295134192,4,17,1,EFB_DATA_EXFILTRATION
5,110,6,2,1,44.57582120803515,4,14,1,EFB_DATA_EXFILTRATION
6,71,3,1,1,19.60279921260263,5,6,1,EFB_DATA_EXFILTRATION
3,99,2,4,1,1.8437414210068053,2,28,0,FLIGHT_PLAN_INJECTION
0,17,1,0,0,0.4728882486231736,1,4,3,BENIGN
6,53,5,4,1,6.447931968876944,7,15,2,MAINTENANCE_LOG_TAMPERING
3,146,6,3,1,9.678171916057531,5,9,1,EFB_DATA_EXFILTRATION
5,62,8,2,1,6.019201573000128,5,15,2,MAINTENANCE_LOG_TAMPERING
6,100,3,3,1,33.08864328033217,5,10,1,EFB_DATA_EXFILTRATION
4,43,9,2,1,8.269581302440908,6,28,2,MAINTENANCE_LOG_TAMPERING
4,38,6,2,1,9.921018333730988,7,27,2,MAINTENANCE_LOG_TAMPERING
3,58,1,6,1,0.8781657617987675,2,46,0,FLIGHT_PLAN_INJECTION
4,44,7,4,1,2.1699462503886275,4,26,2,MAINTENANCE_LOG_TAMPERING
5,56,1,4,1,1.0593723277698601,2,35,0,FLIGHT_PLAN_INJECTION
6,60,9,4,1,4.922303832011057,5,27,2,MAINTENANCE_LOG_TAMPERING
4,58,6,3,1,1.5697876788175966,4,28,2,MAINTENANCE_LOG_TAMPERING
4,60,4,4,1,1.892750976733878,3,44,0,FLIGHT_PLAN_INJECTION
7,59,5,5,1,1.4833729965582445,4,26,2,MAINTENANCE_LOG_TAMPERING
2,19,0,0,0,0.48669714571802164,1,2,3,BENIGN
4,135,6,1,1,43.66962279817142,6,5,1,EFB_DATA_EXFILTRATION
1,15,1,0,0,0.03657125473914197,1,3,3,BENIGN
4,60,4,6,1,0.37136580992507695,3,42,0,FLIGHT_PLAN_INJECTION
2,44,2,6,1,1.1106726573503038,4,24,0,FLIGHT_PLAN_INJECTION
4,68,3,4,1,0.42133723902393827,2,44,0,FLIGHT_PLAN_INJECTION
1,18,1,0,0,0.31421141445883644,1,0,3,BENIGN
4,50,1,3,1,0.5869555132015134,3,20,0,FLIGHT_PLAN_INJECTION
7,41,9,4,1,0.9613458713087861,7,23,2,MAINTENANCE_LOG_TAMPERING
4,118,4,2,1,11.635367021370552,4,14,1,EFB_DATA_EXFILTRATION
7,79,9,2,1,9.929678326525773,4,15,2,MAINTENANCE_LOG_TAMPERING
2,88,4,3,1,1.102242294660697,2,49,0,FLIGHT_PLAN_INJECTION
3,66,5,5,1,7.362548322511586,7,15,2,MAINTENANCE_LOG_TAMPERING
2,30,4,4,1,1.9587043807060007,2,38,0,FLIGHT_PLAN_INJECTION
3,99,4,1,1,10.80663840002412,6,18,1,EFB_DATA_EXFILTRATION
2,78,4,6,1,1.8360822386122726,4,30,0,FLIGHT_PLAN_INJECTION
5,79,1,4,1,1.1005303909205997,4,42,0,FLIGHT_PLAN_INJECTION
5,93,2,4,1,0.9411982626422707,2,41,0,FLIGHT_PLAN_INJECTION
3,90,3,5,1,0.46819934704437416,3,48,0,FLIGHT_PLAN_INJECTION
5,31,5,4,1,9.450761817651566,4,23,2,MAINTENANCE_LOG_TAMPERING
2,8,0,0,0,0.09752736111818167,1,2,3,BENIGN
1,10,0,0,0,0.2446613737375607,1,2,3,BENIGN
2,51,1,5,1,1.5769317767561672,4,24,0,FLIGHT_PLAN_INJECTION
5,23,9,3,1,1.221938310000402,6,26,2,MAINTENANCE_LOG_TAMPERING
1,11,1,0,0,0.1170995298940451,2,0,3,BENIGN
5,56,6,2,1,7.450956188481077,4,18,2,MAINTENANCE_LOG_TAMPERING
3,129,5,2,1,28.36233678085432,6,15,1,EFB_DATA_EXFILTRATION
3,106,3,3,1,12.362378937967048,4,8,1,EFB_DATA_EXFILTRATION
4,38,3,7,1,1.053496460855713,3,37,0,FLIGHT_PLAN_INJECTION
4,69,6,4,1,3.187416142970469,5,25,2,MAINTENANCE_LOG_TAMPERING
3,36,4,7,1,0.4480221021137559,3,34,0,FLIGHT_PLAN_INJECTION
3,129,5,1,1,45.27652364840466,4,15,1,EFB_DATA_EXFILTRATION
3,41,3,7,1,1.2116478511091107,4,23,0,FLIGHT_PLAN_INJECTION
6,104,3,1,1,9.028408855857904,6,11,1,EFB_DATA_EXFILTRATION
3,70,5,1,1,35.9559541154896,5,8,1,EFB_DATA_EXFILTRATION
2,73,4,4,1,1.2708826770845436,4,24,0,FLIGHT_PLAN_INJECTION
5,82,4,5,1,1.15317134111111,4,36,0,FLIGHT_PLAN_INJECTION
4,66,6,5,1,7.178421398394785,4,12,2,MAINTENANCE_LOG_TAMPERING
3,88,4,3,1,1.8038184448247148,2,38,0,FLIGHT_PLAN_INJECTION
2,90,1,4,1,1.5731306667832405,2,33,0,FLIGHT_PLAN_INJECTION
3,41,7,4,1,5.79553507436635,6,13,2,MAINTENANCE_LOG_TAMPERING
5,50,9,3,1,4.652906997927829,6,15,2,MAINTENANCE_LOG_TAMPERING
3,48,8,4,1,4.344705806127116,4,28,2,MAINTENANCE_LOG_TAMPERING
1,18,0,0,0,0.4569072613124721,2,3,3,BENIGN
3,61,5,2,1,36.41782373217073,3,17,1,EFB_DATA_EXFILTRATION
5,129,3,2,1,36.447515170071476,6,14,1,EFB_DATA_EXFILTRATION
2,32,3,4,1,0.20300231399138682,2,47,0,FLIGHT_PLAN_INJECTION
2,42,1,4,1,0.8997034046425294,2,43,0,FLIGHT_PLAN_INJECTION
6,120,7,1,1,12.661661845644618,6,6,1,EFB_DATA_EXFILTRATION
2,36,1,7,1,1.747451994601005,2,27,0,FLIGHT_PLAN_INJECTION
6,83,7,1,1,17.430752373041457,4,6,1,EFB_DATA_EXFILTRATION
2,33,3,4,1,1.166808093099686,2,32,0,FLIGHT_PLAN_INJECTION
4,91,3,6,1,1.143610137362041,2,29,0,FLIGHT_PLAN_INJECTION
6,70,6,2,1,6.748993410343768,7,27,2,MAINTENANCE_LOG_TAMPERING
5,147,3,2,1,29.64272452941862,3,6,1,EFB_DATA_EXFILTRATION
4,50,3,3,1,0.526706527042412,4,20,0,FLIGHT_PLAN_INJECTION
7,58,8,5,1,4.344210545661227,4,10,2,MAINTENANCE_LOG_TAMPERING
3,49,2,3,1,0.41697643940549933,3,36,0,FLIGHT_PLAN_INJECTION
6,49,8,4,1,1.5000190435640401,5,13,2,MAINTENANCE_LOG_TAMPERING
3,50,9,2,1,6.918618606716441,6,22,2,MAINTENANCE_LOG_TAMPERING
5,66,4,3,1,0.6560757469429058,2,31,0,FLIGHT_PLAN_INJECTION
6,81,3,2,1,37.99188603979634,4,7,1,EFB_DATA_EXFILTRATION
1,5,1,0,0,0.1490196660472255,2,3,3,BENIGN
3,92,5,1,1,35.230067161468966,3,10,1,EFB_DATA_EXFILTRATION
2,56,1,6,1,1.3827467831043974,3,48,0,FLIGHT_PLAN_INJECTION
3,125,3,3,1,7.152746562816747,6,6,1,EFB_DATA_EXFILTRATION
0,7,1,0,0,0.1047033569749668,1,1,3,BENIGN
0,11,1,0,0,0.08801984107748534,2,4,3,BENIGN
5,67,7,1,1,43.14381482791648,5,19,1,EFB_DATA_EXFILTRATION
5,127,5,1,1,13.04784808285097,3,10,1,EFB_DATA_EXFILTRATION
6,101,7,1,1,46.68259828317832,5,13,1,EFB_DATA_EXFILTRATION
5,34,4,3,1,1.4860821642889321,2,44,0,FLIGHT_PLAN_INJECTION
6,28,5,3,1,9.061187420564877,6,13,2,MAINTENANCE_LOG_TAMPERING
5,75,3,7,1,1.3679672097957525,4,26,0,FLIGHT_PLAN_INJECTION
3,110,5,2,1,45.22877007909931,3,13,1,EFB_DATA_EXFILTRATION
6,110,3,3,1,10.394961416773043,3,13,1,EFB_DATA_EXFILTRATION
4,72,7,3,1,5.908173138029982,7,10,2,MAINTENANCE_LOG_TAMPERING
6,72,9,4,1,5.031423196092662,6,16,2,MAINTENANCE_LOG_TAMPERING
7,24,5,3,1,3.896376620058751,4,28,2,MAINTENANCE_LOG_TAMPERING
4,29,9,4,1,7.766348885840452,7,22,2,MAINTENANCE_LOG_TAMPERING
6,92,4,2,1,47.04214061587446,3,17,1,EFB_DATA_EXFILTRATION
2,32,3,6,1,1.2683157276771786,4,48,0,FLIGHT_PLAN_INJECTION
4,124,5,1,1,32.93684615776513,6,5,1,EFB_DATA_EXFILTRATION
6,144,5,3,1,31.684313648997225,5,5,1,EFB_DATA_EXFILTRATION
5,64,6,5,1,3.767806545005517,7,22,2,MAINTENANCE_LOG_TAMPERING
0,18,0,0,0,0.2801994769099714,2,3,3,BENIGN
5,66,8,3,1,5.6051023092166234,6,18,2,MAINTENANCE_LOG_TAMPERING
3,89,2,4,1,0.2375151470688327,2,42,0,FLIGHT_PLAN_INJECTION
3,95,1,7,1,1.9724958531849144,3,47,0,FLIGHT_PLAN_INJECTION
1,17,1,0,0,0.06986028348947704,2,2,3,BENIGN
5,62,8,5,1,2.206630500709251,6,17,2,MAINTENANCE_LOG_TAMPERING
4,129,7,1,1,28.23999538562697,5,16,1,EFB_DATA_EXFILTRATION
6,93,7,2,1,41.26359674003279,5,6,1,EFB_DATA_EXFILTRATION
3,110,4,2,1,34.806733696073906,3,16,1,EFB_DATA_EXFILTRATION
3,47,5,3,1,7.609564869567734,5,27,2,MAINTENANCE_LOG_TAMPERING
6,35,9,4,1,9.39428368416843,4,16,2,MAINTENANCE_LOG_TAMPERING
5,76,9,4,1,3.7181240900378185,5,10,2,MAINTENANCE_LOG_TAMPERING
2,64,3,4,1,0.7479909583781846,4,33,0,FLIGHT_PLAN_INJECTION
7,29,6,3,1,0.7928338776440174,4,21,2,MAINTENANCE_LOG_TAMPERING
5,36,2,5,1,1.7196177933813261,2,48,0,FLIGHT_PLAN_INJECTION
5,38,9,5,1,9.569081526804197,5,12,2,MAINTENANCE_LOG_TAMPERING
0,7,1,0,0,0.46842671504550765,1,0,3,BENIGN
3,45,3,7,1,1.9740648535939078,2,34,0,FLIGHT_PLAN_INJECTION
2,60,4,6,1,1.7236804616620176,4,22,0,FLIGHT_PLAN_INJECTION
4,89,2,3,1,0.9730543064836031,4,24,0,FLIGHT_PLAN_INJECTION
4,146,7,3,1,30.50627472547097,6,6,1,EFB_DATA_EXFILTRATION
5,120,4,2,1,25.323754798347707,4,16,1,EFB_DATA_EXFILTRATION
0,16,0,0,0,0.19619105046636065,2,3,3,BENIGN
6,87,7,3,1,34.784527462011106,5,9,1,EFB_DATA_EXFILTRATION
0,18,1,0,0,0.20557446617006936,1,1,3,BENIGN
5,21,9,5,1,2.6704799712117255,5,25,2,MAINTENANCE_LOG_TAMPERING
2,65,1,4,1,1.4261818958458057,4,47,0,FLIGHT_PLAN_INJECTION
4,66,2,4,1,0.8799932902677129,2,27,0,FLIGHT_PLAN_INJECTION
4,85,4,3,1,0.7011132740365974,3,37,0,FLIGHT_PLAN_INJECTION
5,122,4,3,1,38.712102042943926,6,7,1,EFB_DATA_EXFILTRATION
7,69,8,3,1,6.648611692279627,7,15,2,MAINTENANCE_LOG_TAMPERING
4,46,4,6,1,1.171970104417616,2,41,0,FLIGHT_PLAN_INJECTION
5,37,9,5,1,5.9265321413405765,4,18,2,MAINTENANCE_LOG_TAMPERING
4,74,2,5,1,1.712658412034497,2,25,0,FLIGHT_PLAN_INJECTION
5,70,6,3,1,30.965918076075127,5,7,1,EFB_DATA_EXFILTRATION
2,73,1,5,1,0.6881626728748395,2,42,0,FLIGHT_PLAN_INJECTION
5,129,5,2,1,37.959865660870214,5,5,1,EFB_DATA_EXFILTRATION
3,51,5,2,1,4.744313427448395,4,20,2,MAINTENANCE_LOG_TAMPERING
3,26,8,4,1,2.1952814039345605,7,28,2,MAINTENANCE_LOG_TAMPERING
5,50,4,3,1,33.28448138954875,6,5,1,EFB_DATA_EXFILTRATION
5,98,3,7,1,1.9571036006561209,4,25,0,FLIGHT_PLAN_INJECTION
5,126,7,1,1,21.170254573210425,6,12,1,EFB_DATA_EXFILTRATION
4,103,3,1,1,12.37641179211252,3,12,1,EFB_DATA_EXFILTRATION
3,73,2,4,1,1.8706341919351661,2,21,0,FLIGHT_PLAN_INJECTION
2,14,0,0,0,0.346648734275746,2,2,3,BENIGN
4,50,8,4,1,1.9279509135977033,5,16,2,MAINTENANCE_LOG_TAMPERING
6,88,6,1,1,10.78320507998524,5,17,1,EFB_DATA_EXFILTRATION
7,45,7,3,1,2.7230502280235136,5,28,2,MAINTENANCE_LOG_TAMPERING
4,72,3,7,1,0.7688315067535687,2,40,0,FLIGHT_PLAN_INJECTION
2,83,3,7,1,0.5009127142442995,4,46,0,FLIGHT_PLAN_INJECTION
5,93,2,7,1,1.5895097843858979,4,48,0,FLIGHT_PLAN_INJECTION
7,50,5,3,1,2.6700455969299917,7,20,2,MAINTENANCE_LOG_TAMPERING
3,115,4,3,1,14.428365094063945,6,11,1,EFB_DATA_EXFILTRATION
0,18,1,0,0,0.34364150220656386,1,0,3,BENIGN
0,11,1,0,0,0.031223765598753728,2,4,3,BENIGN
4,56,2,3,1,1.3784245718384132,2,32,0,FLIGHT_PLAN_INJECTION
6,121,4,2,1,32.79771158278074,4,16,1,EFB_DATA_EXFILTRATION
4,42,7,5,1,8.112844553567362,4,18,2,MAINTENANCE_LOG_TAMPERING
3,63,1,6,1,0.5325018180568455,4,25,0,FLIGHT_PLAN_INJECTION
5,92,1,5,1,0.6156246506512106,4,25,0,FLIGHT_PLAN_INJECTION
6,56,3,1,1,17.072420920410053,4,14,1,EFB_DATA_EXFILTRATION
6,52,9,4,1,3.0781877882492656,4,17,2,MAINTENANCE_LOG_TAMPERING
3,38,5,2,1,9.622530405674633,7,22,2,MAINTENANCE_LOG_TAMPERING
5,25,8,2,1,5.066156268967885,7,16,2,MAINTENANCE_LOG_TAMPERING
6,23,7,2,1,9.673705160280917,4,11,2,MAINTENANCE_LOG_TAMPERING
3,65,3,2,1,15.839512866746722,5,6,1,EFB_DATA_EXFILTRATION
4,42,5,3,1,5.77401743300647,7,24,2,MAINTENANCE_LOG_TAMPERING
4,142,3,3,1,21.265939782433193,6,13,1,EFB_DATA_EXFILTRATION
3,35,8,5,1,5.539495278379026,6,15,2,MAINTENANCE_LOG_TAMPERING
5,51,1,6,1,1.213139796003051,3,45,0,FLIGHT_PLAN_INJECTION
3,52,6,2,1,13.597334091890728,4,19,1,EFB_DATA_EXFILTRATION
5,139,4,2,1,22.37701633672195,5,8,1,EFB_DATA_EXFILTRATION
1,7,0,0,0,0.24741422831071008,2,1,3,BENIGN
4,35,7,3,1,6.801944804086682,5,13,2,MAINTENANCE_LOG_TAMPERING
4,48,4,3,1,1.608397387347937,4,40,0,FLIGHT_PLAN_INJECTION
3,23,5,4,1,0.502307877127871,4,13,2,MAINTENANCE_LOG_TAMPERING
2,31,2,7,1,1.0030644402641857,3,24,0,FLIGHT_PLAN_INJECTION
3,58,7,2,1,23.186679429967533,6,14,1,EFB_DATA_EXFILTRATION
3,100,4,2,1,29.801360128763022,3,14,1,EFB_DATA_EXFILTRATION
4,85,3,3,1,0.5590446778760757,3,48,0,FLIGHT_PLAN_INJECTION
4,77,4,5,1,0.4443754855479487,3,21,0,FLIGHT_PLAN_INJECTION
5,65,5,1,1,26.60405640080209,3,19,1,EFB_DATA_EXFILTRATION
3,66,7,3,1,4.644036962640431,6,10,2,MAINTENANCE_LOG_TAMPERING
4,45,7,4,1,6.763827879442876,4,15,2,MAINTENANCE_LOG_TAMPERING
0,7,0,0,0,0.02016261986047535,1,0,3,BENIGN
2,39,4,6,1,0.38360922407156983,4,36,0,FLIGHT_PLAN_INJECTION
1,16,1,0,0,0.009862873231587743,2,0,3,BENIGN
4,45,5,3,1,3.508501382160797,7,22,2,MAINTENANCE_LOG_TAMPERING
5,40,4,5,1,0.8740700160615625,3,24,0,FLIGHT_PLAN_INJECTION
3,139,3,1,1,7.634147003602256,4,11,1,EFB_DATA_EXFILTRATION
